hotel_name,location,country,description,amenities,rating,contact,website_url,source_url,latitude,longitude
Geo Mara 3 Bedroom Executive Apartment,Nairobi,Kenya,"Geo Mara 3 Bedroom Executive Apartment is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5414007504,-1.294256,36.7908907
FPFK Guest House,Nairobi,Kenya,"FPFK Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5414008509,-1.2975225,36.784578
Far Away Home,Nairobi,Kenya,"Far Away Home is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5414200461,-1.3031986,36.788822
Hurlingham Hotel,Nairobi,Kenya,"Hurlingham Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5414335616,-1.292952,36.7939149
Swiss Lenana Mount Hotel,Nairobi,Kenya,"Swiss Lenana Mount Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5416191456,-1.2900959,36.8045512
Riverfront Guest House,Nairobi,Kenya,"Riverfront Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5440491042,-1.2859782,36.7851812
Methodist Guest House and Conference Center,Nairobi,Kenya,"Methodist Guest House and Conference Center is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5440491084,-1.2902607,36.7808145
Brookview Furnished Apartments,Nairobi,Kenya,"Brookview Furnished Apartments is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5440491099,-1.2910061,36.7789967
Rock Galana Holiday Apartments,Nairobi,Kenya,"Rock Galana Holiday Apartments is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5440538395,-1.2960747,36.7735136
Kolping Guesthouses,Nairobi,Kenya,"Kolping Guesthouses is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5440538410,-1.2973437,36.7772201
Hotel Africana 2006,Nairobi,Kenya,"Hotel Africana 2006 is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5448172340,-1.2824685,36.8261337
The Ndemi Place,Nairobi,Kenya,"The Ndemi Place is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,http://www.ndemiplace.com/,https://www.openstreetmap.org/node/5450853902,-1.297299,36.7763701
Managu court,Nairobi,Kenya,"Managu court is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5456668650,-1.2898101,36.7949569
United Kenya Club,Nairobi,Kenya,"United Kenya Club is an accommodation option in Nairobi, Kenya.",wheelchair,Not listed,,,https://www.openstreetmap.org/node/5482420879,-1.2808841,36.8133616
Taran Hotel,Nairobi,Kenya,"Taran Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5494261905,-1.2749954,36.8497413
Decale Palace Hotel,Nairobi,Kenya,"Decale Palace Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254741717171,https://decalepalacehotel.com/,https://www.openstreetmap.org/node/5494428197,-1.2790337,36.8512637
Diamond Palace Hotel,Nairobi,Kenya,"Diamond Palace Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5496066040,-1.2793068,36.8509454
Jazera Hotel & Restaurant,Nairobi,Kenya,"Jazera Hotel & Restaurant is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5496066042,-1.2815945,36.8517953
Jarika County Lodge,Nairobi,Kenya,"Jarika County Lodge is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5496066063,-1.2908687,36.8436749
